DEid         	Tinlet       	StrainRate   	dZprime      	gprime       
1.592000E+03 	1.500000E+03 	3.600000E+01 	1.026019E+00 	6.845964E-01 
1.620000E+03 	1.500000E+03 	3.600000E+01 	1.117623E+00 	5.603651E-01 
1.664000E+03 	1.500000E+03 	3.400000E+01 	1.321087E+00 	4.506113E-01 
1.686000E+03 	1.500000E+03 	3.600000E+01 	8.958883E-01 	4.945875E-01 
1.704000E+03 	1.500000E+03 	3.700000E+01 	7.733820E-01 	3.462041E-01 
1.707000E+03 	1.500000E+03 	3.600000E+01 	9.666881E-01 	6.729440E-01 
1.717000E+03 	1.500000E+03 	3.700000E+01 	8.080139E-01 	2.192537E-01 
1.761000E+03 	1.500000E+03 	3.600000E+01 	8.835054E-01 	4.031334E-01 
1.773000E+03 	1.500000E+03 	3.600000E+01 	9.300017E-01 	6.548317E-01 
1.780000E+03 	1.500000E+03 	3.700000E+01 	7.952654E-01 	1.092284E+00 
1.813000E+03 	1.500000E+03 	3.700000E+01 	7.313903E-01 	7.076763E-01 
1.824000E+03 	1.500000E+03 	3.500000E+01 	1.045222E+00 	4.722005E-01 
1.938000E+03 	1.500000E+03 	3.500000E+01 	1.248434E+00 	2.890579E-01 
1.953000E+03 	1.500000E+03 	3.600000E+01 	9.254640E-01 	1.173575E+00 
1.973000E+03 	1.500000E+03 	3.500000E+01 	1.285350E+00 	3.057302E-01 
1.985000E+03 	1.500000E+03 	3.600000E+01 	9.896201E-01 	3.322537E-01 
1.998000E+03 	1.500000E+03 	3.600000E+01 	1.066164E+00 	4.987483E-01 
2.108000E+03 	1.500000E+03 	3.700000E+01 	6.975356E-01 	1.199205E+00 
2.207000E+03 	1.500000E+03 	3.600000E+01 	9.932816E-01 	3.433191E-01 
2.233000E+03 	1.500000E+03 	3.600000E+01 	9.917532E-01 	5.515728E-01 
2.262000E+03 	1.500000E+03 	3.600000E+01 	1.004906E+00 	2.629676E-01 
2.300000E+03 	1.500000E+03 	3.600000E+01 	9.491216E-01 	2.970946E-01 
2.313000E+03 	1.500000E+03 	3.700000E+01 	7.161834E-01 	4.353503E-01 
2.315000E+03 	1.500000E+03 	3.700000E+01 	7.727072E-01 	2.801009E-01 
2.321000E+03 	1.500000E+03 	3.600000E+01 	1.074300E+00 	4.685795E-01 
2.324000E+03 	1.500000E+03 	3.700000E+01 	7.293736E-01 	6.751070E-01 
2.328000E+03 	1.500000E+03 	3.700000E+01 	7.291335E-01 	4.665935E-01 
2.359000E+03 	1.500000E+03 	3.600000E+01 	8.090488E-01 	9.921901E-01 
2.362000E+03 	1.500000E+03 	3.600000E+01 	8.671333E-01 	5.657585E-01 
2.375000E+03 	1.500000E+03 	3.600000E+01 	1.034544E+00 	3.477847E-01 
2.390000E+03 	1.500000E+03 	3.600000E+01 	9.398477E-01 	4.816938E-01 
2.467000E+03 	1.500000E+03 	3.600000E+01 	9.946173E-01 	3.395125E-01 
2.534000E+03 	1.500000E+03 	3.500000E+01 	1.123898E+00 	3.477796E-01 
2.586000E+03 	1.500000E+03 	3.600000E+01 	1.104083E+00 	5.505586E-01 
2.704000E+03 	1.500000E+03 	3.600000E+01 	9.806178E-01 	3.260281E-01 
2.725000E+03 	1.500000E+03 	3.500000E+01 	1.054279E+00 	3.051665E-01 
2.738000E+03 	1.500000E+03 	3.600000E+01 	8.726263E-01 	6.675792E-01 
2.775000E+03 	1.500000E+03 	3.700000E+01 	6.875605E-01 	2.839066E-01 
2.790000E+03 	1.500000E+03 	3.600000E+01 	9.481197E-01 	3.797323E-01 
2.839000E+03 	1.500000E+03 	3.700000E+01 	9.040022E-01 	2.453023E-01 
2.854000E+03 	1.500000E+03 	3.600000E+01 	9.725843E-01 	3.171532E-01 
2.876000E+03 	1.500000E+03 	3.700000E+01 	7.382079E-01 	1.977257E-01 
