         time	  rf_minus_rp
5.165953E-04	-1.000000E+00
8.507149E-04	-1.000000E+00
1.184834E-03	-1.000000E+00
1.518954E-03	-1.000000E+00
1.853074E-03	-1.000000E+00
2.187193E-03	-1.000000E+00
2.521313E-03	-1.000000E+00
2.855432E-03	-1.000000E+00
3.189552E-03	-1.000000E+00
3.523671E-03	-1.000000E+00
3.857791E-03	-1.000000E+00
4.191911E-03	-1.000000E+00
4.526030E-03	-1.000000E+00
4.860150E-03	-1.000000E+00
5.194269E-03	-1.000000E+00
5.528389E-03	-1.000000E+00
5.862508E-03	-1.000000E+00
6.196628E-03	-1.000000E+00
6.530748E-03	-1.000000E+00
6.864867E-03	-1.000000E+00
7.198987E-03	-1.000000E+00
7.533106E-03	-1.000000E+00
7.867226E-03	-1.000000E+00
8.201345E-03	-1.000000E+00
8.535465E-03	-1.000000E+00
8.869585E-03	-1.000000E+00
9.203704E-03	-1.000000E+00
9.537824E-03	-1.000000E+00
9.871943E-03	-1.000000E+00
1.020606E-02	-1.000000E+00
1.054018E-02	-1.000000E+00
1.087430E-02	-1.000000E+00
1.120842E-02	-1.000000E+00
1.154254E-02	-1.000000E+00
1.187666E-02	-1.000000E+00
1.221078E-02	9.947616E-01
1.254490E-02	1.306575E+00
1.287902E-02	1.642843E+00
1.321314E-02	1.997448E+00
1.354726E-02	2.363893E+00
1.388138E-02	2.735494E+00
1.421550E-02	3.105572E+00
1.454962E-02	3.467625E+00
1.488374E-02	3.815485E+00
1.521786E-02	4.143456E+00
1.555198E-02	4.446426E+00
1.588610E-02	4.719962E+00
1.622022E-02	4.960376E+00
1.655433E-02	5.164771E+00
1.688845E-02	5.331068E+00
1.722257E-02	5.458001E+00
1.755669E-02	5.545109E+00
1.789081E-02	5.592694E+00
1.822493E-02	5.601773E+00
1.855905E-02	5.574017E+00
1.889317E-02	5.511677E+00
1.922729E-02	5.417499E+00
1.956141E-02	5.294642E+00
1.989553E-02	5.146580E+00
2.022965E-02	4.977018E+00
2.056377E-02	4.789795E+00
2.089789E-02	4.588800E+00
2.123201E-02	4.377889E+00
