14581,27895,33085
71,148,73
195,87,25
115,201,233
71,148,73
195,87,26
116,202,233
71,149,73
196,87,27
114,200,234
71,149,74
196,87,23
115,201,233
71,149,74
196,87,23
116,202,234
71,149,74
197,87,23
115,203,235
71,149,74
197,88,24
116,201,233
71,149,74
198,88,24
115,202,234
71,149,74
198,88,24
116,203,235
71,150,74
199,86,25
114,199,233
71,150,74
199,86,25
115,200,234
71,150,74
200,86,25
114,201,235
71,150,74
200,86,26
115,202,233
71,150,74
201,86,26
113,203,234
71,150,74
201,87,26
114,199,235
71,150,75
202,87,23
105,200,233
71,150,75
202,87,23
111,201,234
71,150,75
202,87,23
112,202,235
71,150,75
202,87,23
113,203,236
71,150,75
203,88,24
110,199,233
71,150,75
203,88,24
111,200,234
71,150,75
204,88,24
107,201,235
71,150,75
204,88,24
108,202,236
72,150,75
194,88,25
117,203,232
72,151,75
194,85,25
118,199,233
72,151,75
195,85,25
114,200,234
72,151,75
195,85,25
115,201,235
72,151,75
195,85,25
116,202,236
72,151,75
195,85,26
117,203,232
72,151,75
195,85,26
118,204,233
72,151,75
196,86,26
113,198,234
72,151,75
196,86,26
114,199,235
72,151,75
196,86,26
115,200,236
72,151,75
196,86,27
116,201,235
72,151,75
196,86,27
117,202,236
72,151,76
197,86,22
113,203,236
72,151,76
197,86,23
114,204,233
72,151,76
197,87,23
115,198,234
72,151,76
197,87,23
116,199,235
72,151,76
197,87,23
117,200,236
72,151,76
198,87,24
113,201,232
72,151,76
198,87,24
114,202,233
72,151,76
198,87,24
115,203,234
72,151,76
198,87,24
116,204,235
72,151,76
198,88,24
117,198,236
72,151,76
199,88,24
113,199,237
72,151,76
199,88,25
114,200,232
72,151,76
199,88,25
115,201,233
72,151,76
199,88,25
116,202,234
72,151,76
200,88,25
111,203,235
72,151,76
200,88,25
112,204,236
72,151,76
200,89,25
113,200,237
72,151,76
200,89,26
114,201,232
72,151,76
200,89,26
115,202,233
72,151,76
200,89,26
116,203,234
72,151,76
201,89,26
106,204,235
72,152,76
201,83,26
109,205,236
72,152,76
201,84,26
110,198,237
72,152,76
201,84,27
111,199,234
72,152,76
201,84,27
112,200,235
72,152,76
201,84,27
113,201,236
72,152,77
201,84,22
114,202,235
72,152,77
201,84,22
115,203,236
72,152,77
202,84,22
107,204,237
72,152,77
202,84,23
108,205,232
72,152,77
202,85,23
109,197,233
72,152,77
202,85,23
110,198,234
72,152,77
202,85,23
111,199,235
72,152,77
202,85,23
112,200,236
72,152,77
202,85,23
113,201,237
72,152,77
202,85,24
114,202,232
72,152,77
203,85,24
107,203,233
72,152,77
203,85,24
108,204,234
72,152,77
203,85,24
109,205,235
72,152,77
203,86,24
110,197,236
72,152,77
203,86,24
111,198,237
72,152,77
203,86,25
112,199,232
72,152,77
204,86,25
107,200,233
72,152,77
204,86,25
108,201,234
72,152,77
204,86,25
109,202,235
73,152,77
194,86,25
117,203,236
73,152,77
194,86,25
118,204,237
73,152,77
194,86,26
119,205,231
73,152,77
195,87,26
113,197,232
73,152,77
195,87,26
114,198,233
73,152,77
195,87,26
115,199,234
73,152,77
195,87,26
116,200,235
73,152,77
195,87,26
117,201,236
73,152,77
195,87,26
118,202,237
73,152,77
195,87,27
119,203,233
73,152,77
195,87,27
120,204,234
73,152,77
196,87,27
111,205,235
73,152,77
196,88,27
112,198,236
73,152,78
196,88,22
113,199,235
73,152,78
196,88,22
114,200,236
73,152,78
196,88,22
115,201,237
73,152,78
196,88,23
116,202,232
73,152,78
196,88,23
117,203,233
73,152,78
196,88,23
118,204,234
73,152,78
196,88,23
119,205,235
73,152,78
197,89,23
109,199,236
73,152,78
197,89,23
110,200,237
73,152,78
197,89,24
111,201,232
73,152,78
197,89,24
112,202,233
73,152,78
197,89,24
113,203,234
73,152,78
197,89,24
114,204,235
73,152,78
197,89,24
115,205,236
73,152,78
197,90,24
116,203,237
73,152,78
197,90,24
117,204,238
73,152,78
197,90,25
118,205,231
73,153,78
198,83,25
108,198,232
73,153,78
198,83,25
109,199,233
73,153,78
198,83,25
110,200,234
73,153,78
198,83,25
111,201,235
73,153,78
198,83,25
112,202,236
73,153,78
198,83,25
113,203,237
73,153,78
198,83,25
114,204,238
73,153,78
198,83,26
115,205,231
73,153,78
198,84,26
116,197,232
73,153,78
198,84,26
117,198,233
73,153,78
198,84,26
118,199,234
73,153,78
199,84,26
107,200,235
73,153,78
199,84,26
108,201,236
73,153,78
199,84,26
109,202,237
73,153,78
199,84,26
110,203,238
73,153,78
199,84,27
111,204,232
73,153,78
199,84,27
112,205,233
73,153,78
199,85,27
113,197,234
73,153,78
199,85,27
114,198,235
73,153,78
199,85,27
115,199,236
73,153,78
199,85,28
116,200,234
73,153,78
199,85,28
117,201,235
73,153,79
200,85,21
107,202,237
73,153,79
200,85,21
108,203,238
73,153,79
200,85,22
109,204,234
73,153,79
200,85,22
110,205,235
73,153,79
200,85,22
111,206,236
73,153,79
200,86,22
112,197,237
73,153,79
200,86,22
113,198,238
73,153,79
200,86,23
114,199,232
73,153,79
200,86,23
115,200,233
73,153,79
200,86,23
116,201,234
73,153,79
201,86,23
107,202,235
73,153,79
201,86,23
108,203,236
73,153,79
201,86,23
109,204,237
73,153,79
201,86,23
110,205,238
73,153,79
201,86,24
111,206,232
73,153,79
201,87,24
112,197,233
73,153,79
201,87,24
113,198,234
73,153,79
201,87,24
114,199,235
73,153,79
201,87,24
115,200,236
73,153,79
201,87,24
116,201,237
73,153,79
202,87,24
107,202,238
73,153,79
202,87,25
108,203,231
73,153,79
202,87,25
109,204,232
73,153,79
202,87,25
110,205,233
73,153,79
202,87,25
111,206,234
73,153,79
202,88,25
112,197,235
73,153,79
202,88,25
113,198,236
73,153,79
202,88,25
114,199,237
73,153,79
202,88,25
115,200,238
73,153,79
203,88,26
107,201,231
73,153,79
203,88,26
108,202,232
73,153,79
203,88,26
109,203,233
73,153,79
203,88,26
110,204,234
73,153,79
203,88,26
111,205,235
73,153,79
203,88,26
112,206,236
73,153,79
204,89,26
107,198,237
73,153,79
204,89,26
108,199,238
73,153,79
204,89,27
109,200,231
73,153,79
204,89,27
110,201,232
74,153,79
194,89,27
116,202,233
74,153,79
194,89,27
117,203,234
74,153,79
194,89,27
118,204,235
74,153,79
194,89,27
119,205,236
74,153,79
194,90,28
120,200,233
74,153,79
195,90,28
113,201,234
74,153,79
195,90,28
114,202,235
74,153,80
195,90,20
115,203,237
74,153,80
195,90,20
116,204,238
74,153,80
195,90,21
117,205,236
74,154,80
195,82,22
118,197,234
74,154,80
195,82,22
119,198,235
74,154,80
195,82,23
120,202,232
74,154,80
195,82,23
121,203,233
74,154,80
196,82,23
111,204,234
74,154,80
196,82,24
112,205,231
74,154,80
196,82,24
113,206,232
74,154,80
196,83,24
114,196,233
74,154,80
196,83,24
115,197,234
74,154,80
196,83,25
116,198,230
74,154,80
196,83,25
117,199,231
74,154,80
196,83,25
118,200,232
74,154,80
196,83,25
119,201,233
74,154,80
196,83,25
120,202,234
74,154,80
196,83,26
121,203,230
74,154,80
196,83,26
122,204,231
74,154,80
197,83,26
109,205,232
74,154,80
197,83,26
110,206,233
74,154,80
197,84,26
111,196,234
74,154,80
197,84,27
112,197,232
74,154,80
197,84,27
113,198,233
74,154,80
197,84,27
114,199,234
74,154,80
197,84,28
115,200,233
74,154,80
197,84,28
116,201,234
74,154,80
197,84,28
117,202,235
74,154,81
197,84,20
118,203,236
74,154,81
197,84,22
119,204,233
74,154,81
197,84,23
120,205,231
74,154,81
197,84,23
121,206,232
74,154,81
197,85,23
122,196,233
74,154,81
198,85,24
109,197,231
74,154,81
198,85,24
110,198,232
74,154,82
198,85,21
111,199,233
74,154,82
198,85,22
112,200,231
74,154,82
198,85,22
113,201,232
74,154,83
198,85,20
114,202,233
74,154,0
198,85,0
115,203,0
74,154,0
198,85,0
116,204,0
74,154,0
198,85,0
117,205,0
74,154,0
198,85,0
118,206,0
74,154,0
198,86,0
119,196,0
74,154,0
199,86,0
108,197,0
74,154,0
199,86,0
109,198,0
74,154,0
199,86,0
110,199,0
74,154,0
199,86,0
111,200,0
74,154,0
199,86,0
112,201,0
74,154,0
199,86,0
113,202,0
74,154,0
199,86,0
114,203,0
74,154,0
199,86,0
115,204,0
74,154,0
199,86,0
116,205,0
74,154,0
199,86,0
117,206,0
74,154,0
199,87,0
118,196,0
74,154,0
200,87,0
107,197,0
74,154,0
200,87,0
108,198,0
74,154,0
200,87,0
109,199,0
74,154,0
200,87,0
110,200,0
74,154,0
200,87,0
111,201,0
74,154,0
200,87,0
112,202,0
74,154,0
200,87,0
113,203,0
74,154,0
200,87,0
114,204,0
74,154,0
200,87,0
115,205,0
74,154,0
200,87,0
116,206,0
74,154,0
200,88,0
117,197,0
74,154,0
201,88,0
107,198,0
74,154,0
201,88,0
108,199,0
74,154,0
201,88,0
109,200,0
74,154,0
201,88,0
110,201,0
74,154,0
201,88,0
111,202,0
74,154,0
201,88,0
112,203,0
74,154,0
201,88,0
113,204,0
74,154,0
201,88,0
114,205,0
74,154,0
201,88,0
115,206,0
74,154,0
201,89,0
116,197,0
74,154,0
202,89,0
107,198,0
74,154,0
202,89,0
108,199,0
74,154,0
202,89,0
109,200,0
74,154,0
202,89,0
110,201,0
74,154,0
202,89,0
111,202,0
74,154,0
202,89,0
112,203,0
74,154,0
202,89,0
113,204,0
74,154,0
202,89,0
114,205,0
74,154,0
202,89,0
115,206,0
74,154,0
203,90,0
107,199,0
74,154,0
203,90,0
108,200,0
74,154,0
203,90,0
109,201,0
74,154,0
203,90,0
110,202,0
74,154,0
203,90,0
111,203,0
74,154,0
203,90,0
112,204,0
74,154,0
203,90,0
113,205,0
74,154,0
204,90,0
107,206,0
74,154,0
204,91,0
108,202,0
74,154,0
204,91,0
109,203,0
74,154,0
204,91,0
110,204,0
