DE_id        	Tinlet       	StrainRate   
6.000000E+00 	1.500000E+03 	3.700000E+01 
1.600000E+01 	1.500000E+03 	3.700000E+01 
3.300000E+01 	1.500000E+03 	3.700000E+01 
4.000000E+01 	1.500000E+03 	3.700000E+01 
5.600000E+01 	1.500000E+03 	3.700000E+01 
5.800000E+01 	1.500000E+03 	3.700000E+01 
7.200000E+01 	1.500000E+03 	3.700000E+01 
9.300000E+01 	1.500000E+03 	3.700000E+01 
9.700000E+01 	1.500000E+03 	3.700000E+01 
1.080000E+02 	1.500000E+03 	3.700000E+01 
1.160000E+02 	1.500000E+03 	3.700000E+01 
1.260000E+02 	1.500000E+03 	3.700000E+01 
1.270000E+02 	1.500000E+03 	3.700000E+01 
1.590000E+02 	1.500000E+03 	3.700000E+01 
1.600000E+02 	1.500000E+03 	3.700000E+01 
1.640000E+02 	1.500000E+03 	3.700000E+01 
1.650000E+02 	1.500000E+03 	3.700000E+01 
1.680000E+02 	1.500000E+03 	3.700000E+01 
2.440000E+02 	1.500000E+03 	3.700000E+01 
2.450000E+02 	1.500000E+03 	3.700000E+01 
2.480000E+02 	1.500000E+03 	3.700000E+01 
2.810000E+02 	1.500000E+03 	3.700000E+01 
2.890000E+02 	1.500000E+03 	3.700000E+01 
3.490000E+02 	1.500000E+03 	3.700000E+01 
3.570000E+02 	1.500000E+03 	3.700000E+01 
3.850000E+02 	1.500000E+03 	3.700000E+01 
4.190000E+02 	1.500000E+03 	3.700000E+01 
4.460000E+02 	1.500000E+03 	3.700000E+01 
4.570000E+02 	1.500000E+03 	3.700000E+01 
4.870000E+02 	1.500000E+03 	3.700000E+01 
5.110000E+02 	1.500000E+03 	3.700000E+01 
5.370000E+02 	1.500000E+03 	3.700000E+01 
5.960000E+02 	1.500000E+03 	3.700000E+01 
6.010000E+02 	1.500000E+03 	3.700000E+01 
6.030000E+02 	1.500000E+03 	3.700000E+01 
6.100000E+02 	1.500000E+03 	3.700000E+01 
6.180000E+02 	1.500000E+03 	3.600000E+01 
6.330000E+02 	1.500000E+03 	3.700000E+01 
6.610000E+02 	1.500000E+03 	3.700000E+01 
6.710000E+02 	1.500000E+03 	3.700000E+01 
6.720000E+02 	1.500000E+03 	3.700000E+01 
7.440000E+02 	1.500000E+03 	3.700000E+01 
7.550000E+02 	1.500000E+03 	3.700000E+01 
7.900000E+02 	1.500000E+03 	3.700000E+01 
7.980000E+02 	1.500000E+03 	3.700000E+01 
8.010000E+02 	1.500000E+03 	3.700000E+01 
8.060000E+02 	1.500000E+03 	3.700000E+01 
8.320000E+02 	1.500000E+03 	3.700000E+01 
8.740000E+02 	1.500000E+03 	3.700000E+01 
8.960000E+02 	1.500000E+03 	3.700000E+01 
9.420000E+02 	1.500000E+03 	3.700000E+01 
9.940000E+02 	1.500000E+03 	3.700000E+01 
1.103000E+03 	1.500000E+03 	3.700000E+01 
1.124000E+03 	1.500000E+03 	3.700000E+01 
1.143000E+03 	1.500000E+03 	3.700000E+01 
1.184000E+03 	1.500000E+03 	3.700000E+01 
1.215000E+03 	1.500000E+03 	3.700000E+01 
1.262000E+03 	1.500000E+03 	3.700000E+01 
1.274000E+03 	1.500000E+03 	3.700000E+01 
1.298000E+03 	1.500000E+03 	3.700000E+01 
1.307000E+03 	1.500000E+03 	3.700000E+01 
1.361000E+03 	1.500000E+03 	3.700000E+01 
1.387000E+03 	1.500000E+03 	3.700000E+01 
1.408000E+03 	1.500000E+03 	3.700000E+01 
1.426000E+03 	1.500000E+03 	3.700000E+01 
1.435000E+03 	1.500000E+03 	3.700000E+01 
1.463000E+03 	1.500000E+03 	3.700000E+01 
1.514000E+03 	1.500000E+03 	3.700000E+01 
1.569000E+03 	1.500000E+03 	3.700000E+01 
1.575000E+03 	1.500000E+03 	3.700000E+01 
1.592000E+03 	1.500000E+03 	3.700000E+01 
1.620000E+03 	1.500000E+03 	3.700000E+01 
