DE_id        	Tinlet       	StrainRate   
4.970000E+02 	1.500000E+03 	2.300000E+01 
1.246900E+04 	1.500000E+03 	2.300000E+01 
1.267800E+04 	1.500000E+03 	2.200000E+01 
1.349400E+04 	1.500000E+03 	2.200000E+01 
1.491300E+04 	1.500000E+03 	2.300000E+01 
1.523000E+04 	1.500000E+03 	2.300000E+01 
1.527600E+04 	1.500000E+03 	2.300000E+01 
1.564500E+04 	1.500000E+03 	2.600000E+01 
1.567800E+04 	1.500000E+03 	2.600000E+01 
1.780700E+04 	1.500000E+03 	2.200000E+01 
1.883900E+04 	1.500000E+03 	2.200000E+01 
2.057800E+04 	1.500000E+03 	2.200000E+01 
2.295300E+04 	1.500000E+03 	2.200000E+01 
2.350900E+04 	1.500000E+03 	2.500000E+01 
2.552700E+04 	1.500000E+03 	2.600000E+01 
2.601000E+04 	1.500000E+03 	2.200000E+01 
2.614800E+04 	1.500000E+03 	2.600000E+01 
2.765600E+04 	1.500000E+03 	2.600000E+01 
3.056700E+04 	1.500000E+03 	2.600000E+01 
3.161900E+04 	1.500000E+03 	2.300000E+01 
3.223300E+04 	1.500000E+03 	2.500000E+01 
