time	Max
5.208277E-04	0.000000E+00
7.569842E-04	0.000000E+00
9.931407E-04	0.000000E+00
1.229297E-03	0.000000E+00
1.465454E-03	0.000000E+00
1.701610E-03	0.000000E+00
1.937767E-03	0.000000E+00
2.173923E-03	0.000000E+00
2.410080E-03	0.000000E+00
2.646236E-03	0.000000E+00
2.882393E-03	0.000000E+00
3.118549E-03	0.000000E+00
3.354706E-03	0.000000E+00
3.590862E-03	0.000000E+00
3.827019E-03	0.000000E+00
4.063175E-03	0.000000E+00
4.299332E-03	0.000000E+00
4.535488E-03	0.000000E+00
4.771645E-03	0.000000E+00
5.007801E-03	0.000000E+00
5.243958E-03	0.000000E+00
5.480114E-03	0.000000E+00
5.716271E-03	0.000000E+00
5.952427E-03	0.000000E+00
6.188584E-03	0.000000E+00
6.424740E-03	0.000000E+00
6.660897E-03	0.000000E+00
6.897053E-03	0.000000E+00
7.133210E-03	0.000000E+00
7.369366E-03	0.000000E+00
7.605523E-03	0.000000E+00
7.841679E-03	0.000000E+00
8.077836E-03	8.291673E-02
8.313992E-03	4.005647E-01
8.550148E-03	7.581027E-01
8.786305E-03	1.149551E+00
9.022461E-03	1.568216E+00
9.258618E-03	2.006904E+00
9.494774E-03	2.458124E+00
9.730931E-03	2.914287E+00
9.967087E-03	3.367897E+00
1.020324E-02	3.811721E+00
1.043940E-02	4.238941E+00
1.067556E-02	4.643289E+00
1.091171E-02	5.019158E+00
1.114787E-02	5.361687E+00
1.138403E-02	5.666827E+00
1.162018E-02	5.931388E+00
1.185634E-02	6.153053E+00
1.209250E-02	6.330384E+00
1.232865E-02	6.462802E+00
1.256481E-02	6.550552E+00
1.280097E-02	6.594651E+00
1.303712E-02	6.596829E+00
1.327328E-02	6.559453E+00
1.350943E-02	6.485447E+00
1.374559E-02	6.378204E+00
1.398175E-02	6.241497E+00
1.421790E-02	6.079383E+00
1.445406E-02	5.896116E+00
1.469022E-02	5.696052E+00
1.492637E-02	5.483569E+00
1.516253E-02	5.262980E+00
1.539869E-02	5.038465E+00
1.563484E-02	4.814003E+00
1.587100E-02	4.593311E+00
1.610716E-02	4.379799E+00
1.634331E-02	4.176529E+00
1.657947E-02	3.986183E+00
1.681563E-02	3.811045E+00
1.705178E-02	3.652987E+00
1.728794E-02	3.513468E+00
1.752410E-02	3.393538E+00
1.776025E-02	3.293852E+00
1.799641E-02	3.214690E+00
1.823256E-02	3.155980E+00
1.846872E-02	3.117334E+00
1.870488E-02	3.098078E+00
1.894103E-02	3.097294E+00
1.917719E-02	3.113858E+00
1.941335E-02	3.146481E+00
1.964950E-02	3.193751E+00
1.988566E-02	3.254176E+00
2.012182E-02	3.326217E+00
2.035797E-02	3.408333E+00
2.059413E-02	3.499006E+00
2.083029E-02	3.596778E+00
2.106644E-02	3.700272E+00
2.130260E-02	3.808217E+00
2.153876E-02	3.919460E+00
2.177491E-02	4.032983E+00
2.201107E-02	4.147904E+00
2.224723E-02	4.263485E+00
2.248338E-02	4.379121E+00
2.271954E-02	4.494340E+00
2.295569E-02	4.608788E+00
2.319185E-02	4.722214E+00
2.342801E-02	4.834450E+00
2.366416E-02	4.945394E+00
2.390032E-02	5.054987E+00
2.413648E-02	5.163183E+00
2.437263E-02	5.269934E+00
2.460879E-02	5.375159E+00
2.484495E-02	5.478723E+00
2.508110E-02	5.580416E+00
2.531726E-02	5.679932E+00
2.555342E-02	5.776853E+00
2.578957E-02	5.870639E+00
2.602573E-02	5.960613E+00
2.626189E-02	6.045960E+00
2.649804E-02	6.125723E+00
2.673420E-02	6.198812E+00
2.697036E-02	6.264010E+00
2.720651E-02	6.319984E+00
2.744267E-02	6.365309E+00
2.767882E-02	6.398487E+00
2.791498E-02	6.417977E+00
2.815114E-02	6.422223E+00
2.838729E-02	6.409690E+00
2.862345E-02	6.378897E+00
2.885961E-02	6.328461E+00
2.909576E-02	6.257130E+00
2.933192E-02	6.163828E+00
2.956808E-02	6.047689E+00
2.980423E-02	5.908094E+00
3.004039E-02	5.744709E+00
3.027655E-02	5.557513E+00
3.051270E-02	5.346822E+00
3.074886E-02	5.113314E+00
3.098502E-02	4.858040E+00
3.122117E-02	4.582431E+00
3.145733E-02	4.288304E+00
3.169348E-02	3.977846E+00
3.192964E-02	3.653601E+00
3.216580E-02	3.318447E+00
3.240195E-02	2.975559E+00
3.263811E-02	2.628369E+00
3.287427E-02	2.280515E+00
3.311042E-02	1.935782E+00
3.334658E-02	1.598041E+00
3.358274E-02	1.271176E+00
3.381889E-02	9.590069E-01
3.405505E-02	6.652169E-01
3.429121E-02	3.932677E-01
3.452736E-02	1.463210E-01
3.476352E-02	-7.283916E-02
3.499968E-02	-2.618823E-01
3.523583E-02	-4.189998E-01
3.547199E-02	-5.429660E-01
3.570815E-02	-6.331890E-01
3.594430E-02	-6.897501E-01
3.618046E-02	-7.134302E-01
3.641661E-02	-7.057176E-01
3.665277E-02	-6.688028E-01
3.688893E-02	-6.055519E-01
3.712508E-02	-5.194614E-01
3.736124E-02	-4.145946E-01
3.759740E-02	-2.954962E-01
3.783355E-02	-1.670890E-01
3.806971E-02	-3.455148E-02
3.830587E-02	9.681977E-02
3.854202E-02	2.217646E-01
3.877818E-02	3.352210E-01
3.901434E-02	4.324953E-01
3.925049E-02	5.094382E-01
3.948665E-02	5.626121E-01
3.972281E-02	5.894515E-01
3.995896E-02	5.884131E-01
4.019512E-02	5.590933E-01
4.043128E-02	5.023247E-01
4.066743E-02	4.202291E-01
4.090359E-02	3.162240E-01
4.113974E-02	1.949814E-01
4.137590E-02	6.232013E-02
4.161206E-02	-7.496213E-02
4.184821E-02	-2.093309E-01
4.208437E-02	-3.328287E-01
4.232053E-02	-4.374551E-01
4.255668E-02	-5.156202E-01
4.279284E-02	-5.606479E-01
4.302900E-02	-5.673321E-01
4.326515E-02	-5.325077E-01
4.350131E-02	-4.556170E-01
4.373747E-02	-3.392256E-01
4.397362E-02	-1.894555E-01
4.420978E-02	-1.624298E-02
4.444594E-02	1.666247E-01
4.468209E-02	3.418260E-01
4.491825E-02	4.892388E-01
4.515441E-02	5.872911E-01
4.539056E-02	6.150443E-01
4.562672E-02	5.552357E-01
4.586287E-02	3.984689E-01
4.609903E-02	1.488799E-01
4.633519E-02	-1.684934E-01
4.657134E-02	-4.982077E-01
4.680750E-02	-7.424398E-01
4.704366E-02	-7.460081E-01
4.727981E-02	-2.779271E-01
4.751597E-02	9.911496E-01
