[K]_0	X-NO_0	X-NH3_0
9.00000E+02	7.98849E-06	4.84000E+02
1.00001E+03	7.18223E-04	4.83996E+02
1.10006E+03	9.84658E-03	4.83951E+02
1.20057E+03	1.28904E-01	4.83511E+02
1.33362E+03	3.02713E+00	4.32086E+01
1.43395E+03	6.18173E+00	4.00751E+00
1.53342E+03	2.61087E+01	2.12915E+00
1.63275E+03	6.55333E+01	4.07641E-01
1.73206E+03	1.12341E+02	2.15294E-02
1.83154E+03	1.40289E+02	6.23478E-03
