x[cm]_0	X-NO_0	x[cm]_1	X-NO_1	x[cm]_2	X-NO_2
0.00000E+00	2.60703E-03	0.00000E+00	6.83252E-02	0.00000E+00	3.81905E-03
5.66967E-04	2.62554E-03	3.82845E-04	6.86307E-02	5.19342E-03	4.09421E-03
1.13393E-03	2.64418E-03	7.65690E-04	6.89375E-02	1.03868E-02	4.38986E-03
1.70090E-03	2.66297E-03	1.14854E-03	6.92457E-02	1.55345E-02	4.70470E-03
2.26787E-03	2.68188E-03	1.53138E-03	6.95552E-02	2.05905E-02	5.03666E-03
2.83484E-03	2.70094E-03	1.91423E-03	6.98661E-02	2.56004E-02	5.38952E-03
3.40180E-03	2.72014E-03	2.29707E-03	7.01783E-02	3.05044E-02	5.75971E-03
3.96877E-03	2.73948E-03	2.67991E-03	7.04919E-02	3.51827E-02	6.13743E-03
4.53574E-03	2.75896E-03	3.06276E-03	7.08069E-02	3.97275E-02	6.52898E-03
5.10270E-03	2.77858E-03	3.44561E-03	7.11232E-02	4.41987E-02	6.93950E-03
5.66967E-03	2.79835E-03	3.82845E-03	7.14409E-02	4.84750E-02	7.35722E-03
6.23664E-03	2.81826E-03	4.21129E-03	7.17601E-02	5.25411E-02	7.77865E-03
6.80361E-03	2.83832E-03	4.59414E-03	7.20806E-02	5.65318E-02	8.21671E-03
7.37057E-03	2.85853E-03	4.97698E-03	7.24025E-02	6.04604E-02	8.67303E-03
7.93754E-03	2.87888E-03	5.35983E-03	7.27258E-02	6.42148E-02	9.13379E-03
8.50451E-03	2.89939E-03	5.74267E-03	7.30506E-02	6.78072E-02	9.59855E-03
9.07147E-03	2.92005E-03	6.12552E-03	7.33768E-02	7.13498E-02	1.00810E-02
9.63844E-03	2.94085E-03	6.50836E-03	7.37044E-02	7.48702E-02	1.05855E-02
1.02054E-02	2.96182E-03	6.89121E-03	7.40334E-02	7.82760E-02	1.10986E-02
1.07724E-02	2.98293E-03	7.27405E-03	7.43639E-02	8.15191E-02	1.16114E-02
1.13393E-02	3.00420E-03	7.65690E-03	7.46958E-02	8.46918E-02	1.21369E-02
1.19063E-02	3.02563E-03	8.03974E-03	7.50292E-02	8.78646E-02	1.26872E-02
1.24733E-02	3.04722E-03	8.42259E-03	7.53640E-02	9.09991E-02	1.32565E-02
1.30402E-02	3.06897E-03	8.80543E-03	7.57003E-02	9.40175E-02	1.38298E-02
1.36072E-02	3.09087E-03	9.18828E-03	7.60380E-02	9.69179E-02	1.44051E-02
1.41742E-02	3.11294E-03	9.57112E-03	7.63773E-02	9.97785E-02	1.49970E-02
1.47411E-02	3.13517E-03	9.95397E-03	7.67180E-02	1.02639E-01	1.56142E-02
1.53081E-02	3.15756E-03	1.03368E-02	7.70602E-02	1.05477E-01	1.62524E-02
1.58751E-02	3.18012E-03	1.07197E-02	7.74039E-02	1.08225E-01	1.68943E-02
1.64420E-02	3.20285E-03	1.11025E-02	7.77492E-02	1.10863E-01	1.75339E-02
1.70090E-02	3.22575E-03	1.14854E-02	7.80959E-02	1.13459E-01	1.81860E-02
1.75760E-02	3.24881E-03	1.18682E-02	7.84441E-02	1.16055E-01	1.88618E-02
1.81429E-02	3.27204E-03	1.22510E-02	7.87939E-02	1.18651E-01	1.95618E-02
1.87099E-02	3.29545E-03	1.26339E-02	7.91452E-02	1.21193E-01	2.02718E-02
1.92769E-02	3.31903E-03	1.30167E-02	7.94980E-02	1.23625E-01	2.09745E-02
1.98439E-02	3.34278E-03	1.33996E-02	7.98524E-02	1.26001E-01	2.16835E-02
