[ms]_0	C-NO_0	C-OH_0
0.00000E+00	0.00000E+00	0.00000E+00
2.00000E-08	9.51026E-26	3.48258E-19
4.66518E-08	4.12321E-25	1.49102E-18
7.99553E-08	1.11184E-24	3.96226E-18
1.51680E-07	3.95958E-24	1.36158E-17
2.42016E-07	1.03961E-23	3.42619E-17
4.20315E-07	3.37517E-23	1.02812E-16
5.98614E-07	7.34898E-23	2.08274E-16
9.41897E-07	2.06537E-22	5.15270E-16
1.28518E-06	4.30759E-22	9.59095E-16
1.62846E-06	7.65999E-22	1.53974E-15
1.97175E-06	1.23208E-21	2.25719E-15
2.31503E-06	1.84880E-21	3.11143E-15
2.86359E-06	3.19622E-21	4.76035E-15
3.41214E-06	5.05936E-21	6.75839E-15
3.96070E-06	7.51861E-21	9.10545E-15
4.66516E-06	1.16799E-20	1.26312E-14
5.52552E-06	1.85219E-20	1.77174E-14
6.38588E-06	2.75882E-20	2.36610E-14
7.52357E-06	4.35140E-20	3.28360E-14
8.93860E-06	7.05637E-20	4.63365E-14
1.07704E-05	1.19578E-19	6.72488E-14
1.43478E-05	2.71265E-19	1.19249E-13
1.79252E-05	5.14970E-19	1.85974E-13
2.15026E-05	8.71926E-19	2.67381E-13
2.61162E-05	1.53336E-18	3.93969E-13
3.17658E-05	2.71214E-18	5.81998E-13
3.74155E-05	4.37190E-18	8.06191E-13
4.30652E-05	6.59100E-18	1.06636E-12
4.87149E-05	9.44635E-18	1.36230E-12
5.88413E-05	1.63946E-17	1.98165E-12
6.89677E-05	2.60532E-17	2.71421E-12
7.90941E-05	3.88341E-17	3.55889E-12
8.92205E-05	5.51381E-17	4.51465E-12
1.02615E-04	8.27790E-17	5.94791E-12
1.19278E-04	1.28043E-16	7.99670E-12
1.35941E-04	1.86897E-16	1.03370E-11
1.52604E-04	2.60930E-16	1.29659E-11
1.69267E-04	3.51690E-16	1.58811E-11
1.85929E-04	4.60692E-16	1.90809E-11
2.02592E-04	5.89428E-16	2.25642E-11
2.19255E-04	7.39372E-16	2.63306E-11
2.35918E-04	9.11987E-16	3.03802E-11
2.52581E-04	1.10873E-15	3.47137E-11
2.69244E-04	1.33106E-15	3.93324E-11
2.85907E-04	1.58043E-15	4.42383E-11
3.02569E-04	1.85833E-15	4.94338E-11
3.19232E-04	2.16623E-15	5.49218E-11
3.35895E-04	2.50565E-15	6.07061E-11
3.52558E-04	2.87811E-15	6.67907E-11
3.69221E-04	3.28516E-15	7.31803E-11
3.85884E-04	3.72839E-15	7.98800E-11
4.02547E-04	4.20941E-15	8.68955E-11
4.19209E-04	4.72987E-15	9.42331E-11
4.35872E-04	5.29147E-15	1.01900E-10
4.52535E-04	5.89592E-15	1.09902E-10
4.69198E-04	6.54502E-15	1.18248E-10
4.85861E-04	7.24058E-15	1.26946E-10
5.06776E-04	8.18226E-15	1.38376E-10
5.31942E-04	9.42176E-15	1.52908E-10
5.57109E-04	1.07840E-14	1.68324E-10
5.82276E-04	1.22762E-14	1.84662E-10
6.07442E-04	1.39060E-14	2.01960E-10
6.32609E-04	1.56813E-14	2.20262E-10
6.57776E-04	1.76104E-14	2.39613E-10
6.82943E-04	1.97020E-14	2.60060E-10
7.08109E-04	2.19654E-14	2.81655E-10
7.33276E-04	2.44100E-14	3.04452E-10
7.58443E-04	2.70460E-14	3.28507E-10
7.83609E-04	2.98840E-14	3.53880E-10
