x[cm]_2	X-NO_2
0.000000E+00	3.819050E-03
5.193420E-03	4.094210E-03
1.038680E-02	4.389860E-03
1.553450E-02	4.704700E-03
2.059050E-02	5.036660E-03
2.560040E-02	5.389520E-03
3.050440E-02	5.759710E-03
3.518270E-02	6.137430E-03
3.972750E-02	6.528980E-03
4.419870E-02	6.939500E-03
4.847500E-02	7.357220E-03
5.254110E-02	7.778650E-03
5.653180E-02	8.216710E-03
6.046040E-02	8.673030E-03
6.421480E-02	9.133790E-03
6.780720E-02	9.598550E-03
7.134980E-02	1.008100E-02
7.487020E-02	1.058550E-02
7.827600E-02	1.109860E-02
8.151910E-02	1.161140E-02
8.469180E-02	1.213690E-02
8.786460E-02	1.268720E-02
9.099910E-02	1.325650E-02
9.401750E-02	1.382980E-02
9.691790E-02	1.440510E-02
9.977850E-02	1.499700E-02
1.026390E-01	1.561420E-02
1.054770E-01	1.625240E-02
1.082250E-01	1.689430E-02
1.108630E-01	1.753390E-02
1.134590E-01	1.818600E-02
1.160550E-01	1.886180E-02
1.186510E-01	1.956180E-02
1.211930E-01	2.027180E-02
1.236250E-01	2.097450E-02
1.260010E-01	2.168350E-02
1.283740E-01	2.241510E-02
1.307480E-01	2.317050E-02
1.331000E-01	2.394340E-02
1.353840E-01	2.471780E-02
1.375970E-01	2.549100E-02
1.397850E-01	2.627830E-02
1.419730E-01	2.708890E-02
1.441610E-01	2.792360E-02
1.463130E-01	2.876840E-02
1.483880E-01	2.960660E-02
1.504220E-01	3.045050E-02
1.524530E-01	3.131630E-02
1.544840E-01	3.220590E-02
1.565000E-01	3.311340E-02
1.584700E-01	3.402340E-02
1.603870E-01	3.493190E-02
1.622840E-01	3.585400E-02
1.641810E-01	3.679940E-02
1.660780E-01	3.776860E-02
1.679500E-01	3.874900E-02
1.697680E-01	3.972450E-02
1.715540E-01	4.070550E-02
1.733360E-01	4.170760E-02
1.751180E-01	4.273320E-02
1.768930E-01	4.377840E-02
1.786370E-01	4.482920E-02
1.803430E-01	4.588010E-02
1.820330E-01	4.694440E-02
1.837230E-01	4.803210E-02
1.854140E-01	4.914380E-02
1.870900E-01	5.027050E-02
1.887360E-01	5.140030E-02
1.903600E-01	5.253950E-02
1.919820E-01	5.370000E-02
1.936030E-01	5.488470E-02
1.952200E-01	5.609130E-02
1.968210E-01	5.731060E-02
1.984010E-01	5.853840E-02
1.999730E-01	5.978420E-02
2.015450E-01	6.105500E-02
2.031170E-01	6.235130E-02
2.046800E-01	6.366660E-02
2.062260E-01	6.499260E-02
2.077610E-01	6.633500E-02
2.092940E-01	6.770230E-02
2.108270E-01	6.909460E-02
2.123570E-01	7.050410E-02
2.138750E-01	7.192620E-02
2.153800E-01	7.335950E-02
2.168810E-01	7.481170E-02
2.183810E-01	7.628760E-02
2.198810E-01	7.778730E-02
2.213740E-01	7.930360E-02
2.228530E-01	8.082900E-02
2.243240E-01	8.237070E-02
2.257950E-01	8.393640E-02
2.272660E-01	8.552620E-02
2.287340E-01	8.713620E-02
2.301900E-01	8.875900E-02
2.316380E-01	9.039550E-02
2.330820E-01	9.205310E-02
2.345270E-01	9.373540E-02
2.359700E-01	9.544100E-02
2.374060E-01	9.716300E-02
2.388310E-01	9.889630E-02
2.402500E-01	1.006480E-01
2.416700E-01	1.024260E-01
2.430900E-01	1.042280E-01
2.445040E-01	1.060510E-01
2.459080E-01	1.078840E-01
2.473050E-01	1.097340E-01
2.487000E-01	1.116070E-01
2.500950E-01	1.135060E-01
2.514870E-01	1.154280E-01
2.528720E-01	1.173640E-01
2.542460E-01	1.193120E-01
2.556160E-01	1.212810E-01
2.569870E-01	1.232770E-01
2.583570E-01	1.252980E-01
2.597220E-01	1.273370E-01
2.610740E-01	1.293840E-01
2.624190E-01	1.314480E-01
2.637650E-01	1.335390E-01
2.651110E-01	1.356570E-01
2.664530E-01	1.377950E-01
2.677840E-01	1.399440E-01
2.691080E-01	1.421060E-01
2.704280E-01	1.442900E-01
2.717490E-01	1.465020E-01
2.730690E-01	1.487390E-01
2.743810E-01	1.509890E-01
2.756820E-01	1.532490E-01
2.769790E-01	1.555280E-01
2.782760E-01	1.578350E-01
2.795720E-01	1.601680E-01
2.808640E-01	1.625200E-01
2.821450E-01	1.648800E-01
2.834200E-01	1.672560E-01
2.846940E-01	1.696580E-01
2.859680E-01	1.720870E-01
2.872400E-01	1.745400E-01
2.885040E-01	1.770060E-01
2.897610E-01	1.794860E-01
2.910150E-01	1.819890E-01
2.922690E-01	1.845200E-01
2.935230E-01	1.870790E-01
2.947720E-01	1.896570E-01
2.960130E-01	1.922480E-01
2.972500E-01	1.948590E-01
2.984880E-01	1.975000E-01
2.997250E-01	2.001700E-01
3.009600E-01	2.028630E-01
3.021890E-01	2.055720E-01
3.034140E-01	2.083010E-01
3.046380E-01	2.110590E-01
3.058620E-01	2.138460E-01
3.070850E-01	2.166600E-01
3.083030E-01	2.194940E-01
3.095170E-01	2.223490E-01
3.107300E-01	2.252290E-01
3.119420E-01	2.281400E-01
3.131540E-01	2.310820E-01
3.143640E-01	2.340470E-01
3.155670E-01	2.370300E-01
3.167680E-01	2.400220E-01
3.179690E-01	2.430390E-01
3.191700E-01	2.460820E-01
3.203690E-01	2.491460E-01
3.215630E-01	2.522240E-01
3.227530E-01	2.553190E-01
3.239430E-01	2.584380E-01
3.251320E-01	2.615840E-01
3.263200E-01	2.647540E-01
3.275030E-01	2.679370E-01
3.286810E-01	2.711340E-01
3.298580E-01	2.743520E-01
3.310340E-01	2.775970E-01
3.322100E-01	2.808680E-01
3.333820E-01	2.841550E-01
3.345470E-01	2.874490E-01
3.357100E-01	2.907620E-01
3.368720E-01	2.941010E-01
3.380340E-01	2.974660E-01
3.391930E-01	3.008510E-01
3.403460E-01	3.042420E-01
3.414930E-01	3.076460E-01
3.426400E-01	3.110740E-01
3.437880E-01	3.145290E-01
3.449330E-01	3.180060E-01
3.460720E-01	3.214910E-01
3.472060E-01	3.249840E-01
3.483370E-01	3.284980E-01
3.494680E-01	3.320390E-01
3.505990E-01	3.356040E-01
3.517250E-01	3.391810E-01
3.528440E-01	3.427620E-01
3.539600E-01	3.463600E-01
3.550750E-01	3.499840E-01
3.561910E-01	3.536340E-01
3.573030E-01	3.573010E-01
3.584080E-01	3.609710E-01
3.595090E-01	3.646540E-01
3.606090E-01	3.683630E-01
3.617090E-01	3.721000E-01
3.628080E-01	3.758560E-01
3.639000E-01	3.796210E-01
3.649870E-01	3.833950E-01
3.660730E-01	3.871920E-01
3.671590E-01	3.910160E-01
3.682440E-01	3.948650E-01
3.693250E-01	3.987260E-01
3.704000E-01	4.025950E-01
3.714730E-01	4.064840E-01
3.725460E-01	4.104010E-01
3.736190E-01	4.143450E-01
3.746890E-01	4.183070E-01
3.757540E-01	4.222780E-01
3.768160E-01	4.262680E-01
3.778790E-01	4.302850E-01
3.789410E-01	4.343310E-01
3.800020E-01	4.383990E-01
3.810590E-01	4.424810E-01
3.821140E-01	4.465830E-01
3.831680E-01	4.507100E-01
3.842220E-01	4.548670E-01
3.852750E-01	4.590490E-01
3.863270E-01	4.632530E-01
3.873760E-01	4.674780E-01
3.884250E-01	4.717280E-01
3.894730E-01	4.760080E-01
3.905220E-01	4.803170E-01
