[K]_0	X-NO_0	X-NH3_0
1.00001E+03	1.98103E-03	4.67991E+02
1.10014E+03	3.53989E-02	4.67855E+02
1.20180E+03	6.77439E-01	4.64951E+02
1.35648E+03	1.53405E+02	9.98881E-03
1.45560E+03	1.85336E+02	1.76819E-03
1.55486E+03	2.11555E+02	2.28639E-04
1.65420E+03	2.34414E+02	1.45755E-04
1.75364E+03	2.52301E+02	1.69721E-04
1.85313E+03	2.62675E+02	1.86757E-04
