[K]_0	X-HCN_0	X-NO_0	X-N2O_0
9.00000E+02	3.17873E+02	1.39237E-07	1.02253E-10
9.50000E+02	3.17800E+02	8.35575E-06	8.04087E-09
1.00214E+03	3.01398E+02	3.99578E+00	5.42122E-01
1.06439E+03	1.75490E+02	3.88784E+01	2.33981E+01
1.11735E+03	1.00724E+02	6.17439E+01	3.94389E+01
1.21898E+03	2.35873E+01	1.33095E+02	4.25757E+01
1.31907E+03	2.64598E+00	2.15114E+02	2.31125E+01
1.41877E+03	6.69457E-02	2.63644E+02	6.68782E+00
