phi         	LBV         
6.000060E-01	6.833010E+01
6.500030E-01	7.894640E+01
7.000000E-01	8.872550E+01
7.500030E-01	9.763790E+01
7.999820E-01	1.055930E+02
8.499940E-01	1.126280E+02
9.000190E-01	1.187050E+02
9.499890E-01	1.238330E+02
9.999790E-01	1.280550E+02
1.049980E+00	1.313530E+02
1.100020E+00	1.337720E+02
1.150010E+00	1.352880E+02
1.199980E+00	1.359230E+02
1.249980E+00	1.356660E+02
1.300030E+00	1.345100E+02
1.350000E+00	1.324540E+02
1.399970E+00	1.294840E+02
1.450010E+00	1.256070E+02
1.500000E+00	1.209070E+02
1.550030E+00	1.155420E+02
1.599970E+00	1.098930E+02
1.650000E+00	1.043040E+02
1.699990E+00	9.931870E+01
1.749970E+00	9.505870E+01
1.799970E+00	9.135470E+01
1.850020E+00	8.808430E+01
1.900010E+00	8.505280E+01
1.949980E+00	8.223080E+01
1.999960E+00	7.950820E+01
