Reactions	Percentage
R949: O2+C5H5N=C5H4N+HO2	-0.054210919621427656
R948: H+C5H5N=C5H4N+H2	-0.1773613978112074
R951: O+C5H5N=C5H5NO	-1.4964209580630545
R947: C5H5N=C5H4N+H	-1.529590909452282
R950: O+C5H5N=C5H4N+OH	-9.853570267383176
R954: OH+C5H5N=C5H4N+H2O	-86.88843469334357
