
read in file:  ITV_mech_withExtra.chthermo
             species    #C    #H    #O    #N
              C2H4O1     2     4     1     0
             CH2COOH     2     3     2     0
              C3H6O1     3     6     1     0
              C3H6O1     3     6     1     0
             CJCYCCO     3     5     1     0
             CCYCCJO     3     5     1     0
           CH3OCHCH2     3     6     1     0
             SC3H5OH     3     6     1     0
              CCYCCO     3     5     1     0
           CH2CHOCH2     3     5     1     0
             C3H6OH1     3     7     1     0
             C3H6OH1     3     7     1     0
             C3H6OH1     3     7     1     0
              C3H5OH     3     6     1     0
               CC3H6     3     6     0     0
               CC3H4     3     4     0     0
              SXC3H2     3     2     0     0
             SXH2CCC     3     2     0     0
               C3H2C     3     2     0     0
              CH3CCO     3     3     1     0
               C3H3O     3     3     1     0
              C2H3CO     3     3     1     0
             C3H3O2H     3     4     2     0
              C2HCHO     3     2     1     0
              C3H4O1     3     4     1     0
              CH2CO2     2     2     2     0
              CH3COH     2     4     1     0
             SC3H4OH     3     5     1     0
          CH3C(OH)CH     3     5     1     0
             PC3H4OH     3     5     1     0
            CH2COHCO     3     3     2     0
             SC2H2OH     2     3     1     0
             PC3H4OH     3     5     1     0
           CH2CHCHOH     3     5     1     0
             CH3CCHO     3     4     1     0
             SC3H5OO     3     5     2     0
             C3H5O31     3     5     3     0
             C3H5O32     3     5     3     0
             HOCH2CO     2     3     2     0
        CH2COHCH2OOH     3     6     3     0
           CH2COHCHO     3     4     2     0
         CH2(OH)OCH2     3     5     2     0
          CH2COHCH2O     3     5     2     0
             CH3COCH     3     4     1     0
             TC3H5OO     3     5     2     0
           CH2CHOCHO     3     4     2     0
              CH2CCO     3     2     1     0
            CH2CHOCO     3     3     2     0
              C2H5OH     2     6     1     0
             CH3CHOH     2     5     1     0
              CH3O2H     1     4     2     0
               O2CHO     1     1     3     0
              HO2CHO     1     2     3     0
                OCHO     1     1     2     0
              C2H3O1     2     3     1     0
               CH3CO     2     3     1     0
             C2H4O2H     2     5     2     0
              C2H5O2     2     5     2     0
             NXC7H16     7    16     0     0
             C7H15X1     7    15     0     0
             C7H15X2     7    15     0     0
             C7H15X3     7    15     0     0
             C7H15X4     7    15     0     0
             C7H14X1     7    14     0     0
             C7H14X2     7    14     0     0
             C7H14X3     7    14     0     0
            C7H131X3     7    13     0     0
            C7H131X4     7    13     0     0
            C7H131X5     7    13     0     0
            C7H131X6     7    13     0     0
            C7H131X7     7    13     0     0
            C7H132X4     7    13     0     0
            C7H132X5     7    13     0     0
            C7H132X6     7    13     0     0
