
read in file:  ITV_mech_withExtra.chthermo
             species    #C    #H    #O    #N
            AOA1C3H4     9     9     1     0
              A1C3H4     9     9     0     0
              C14H12    14    12     0     0
              C14H11    14    11     0     0
                C6H5    11     9     0     0
                C6H5    11    10     0     0
             ISOC9H9     9     9     0     0
             IC12H12    12    12     0     0
             IC12H12    12    12     0     0
           A1CH2CCH2     9     9     0     0
       METHYLINDENYL    10     9     0     0
       METHYLINDENYL    10     9     0     0
       CH2X1XINDANX2    10     9     0     0
       CH2X1XINDANX3    10     9     0     0
        METHYLINDENE    10    10     0     0
        METHYLINDENE    10    10     0     0
        METHYLINDENE    10    10     0     0
            C5H5C5H5    10    10     0     0
            C5H5C5H5    10    10     0     0
            C5H5C5H5    10    10     0     0
            C5H5C5H5    10    10     0     0
            C5H5C5H5    10    10     0     0
            C5H5C5H5    10    10     0     0
                C5H5    10    10     0     0
     C5H5CHCHCHCHCH2    10    10     0     0
              CC7CC5    10    10     0     0
              CC7CC5    10    10     0     0
              CC7CC5    10    10     0     0
              CC7CC5    10    10     0     0
              CC7CC5    10    10     0     0
              CC7CC5    10    10     0     0
              CC7CC5    10    10     0     0
              CC7CC5    10    10     0     0
            C5H5C5H4    10     9     0     0
            C5H5C5H4    10     9     0     0
            C5H5C5H4    10     9     0     0
           C5H5XC5H4    10     9     0     0
           C5H5XC5H4    10     9     0     0
           C5H5XC5H4    10     9     0     0
          A1CHCHCHCH    10     9     0     0
             CC7XCC5    10     9     0     0
             CC7XCC5    10     9     0     0
             CC7XCC5    10     9     0     0
             AZULENE    10     8     0     0
                C2HA    11     7     0     0
            INDXC2HA    11     8     0     0
            NAPHC3H4    13    11     0     0
          NAPHCHCCH3    13    11     0     0
            NAPHC3H4    13    11     0     0
           NAPHCCCH3    13    10     0     0
           NAPHCCCH3    13    10     0     0
          NAPHCHCCH3    13    11     0     0
          NAPHCHCCH2    13    10     0     0
          NAPHCH2CCH    13    10     0     0
              A2CYC5    13    10     0     0
             A2CYC5R    13     9     0     0
         NAPHCH2CCH2    13    11     0     0
             CH3C9H6    10     9     0     0
             CH3C9H7    10    10     0     0
                A2R5    13    10     0     0
                A2R5    13     9     0     0
          A2R5CHCCH3    15    11     0     0
              A2CYC5    15    10     0     0
             A2CYC5R    13     9     0     0
              A2CYC5    13    10     0     0
              A2C2HR    13     9     0     0
              A2C2HL    13     9     0     0
           MEXA2C2HL    13    10     0     0
           MEXA2C2HR    13    10     0     0
          NAPHCH2CCH    13    10     0     0
          NAPHCHCCH2    13    10     0     0
            MEA2CYC5    14    12     0     0
           RMEA2CYC5    14    11     0     0
          C2HA2CYC5R    15     9     0     0
              N1XCS9    15    10     0     0
              N1XCS9    15    10     0     0
              N1XCS9    15     9     0     0
              A2CYC5    14    12     0     0
              A2CYC5    14    11     0     0
           ALLYLNAPH    13    12     0     0
           ALLYLNAPH    13    12     0     0
           A2R5CCCH3    15    10     0     0
          A2R5CHCCH2    15    10     0     0
            CYC5A2R5    15    10     0     0
           A2R5IC3H4    15    11     0     0
         A2R5CH2CCH2    15    11     0     0
          A2R5CH2CCH    15    10     0     0
            A2R5C3H4    15    11     0     0
          A2R5CHCCH3    15    11     0     0
          A2R5CHCCH2    15    10     0     0
           A2R5CCCH3    15    10     0     0
           A2R5IC3H4    15    11     0     0
         A2R5CH2CCH2    15    11     0     0
          A2R5CH2CCH    15    10     0     0
            A2R5C3H4    15    11     0     0
          A2R5CHCCH3    15    11     0     0
           A2R5CCCH3    15    10     0     0
          A2R5CHCCH2    15    10     0     0
           A2R5IC3H4    15    11     0     0
         A2R5CH2CCH2    15    11     0     0
          A2R5CH2CCH    15    10     0     0
            A2R5C3H4    15    11     0     0
           RCYC5A2R5    15     9     0     0
          MECYC5A2R5    16    12     0     0
            CYC5A2R5    16    12     0     0
         RMECYC5A2R5    16    11     0     0
            CYC5A2R5    16    11     0     0
              MEA2R5    13    10     0     0
             RMEA2R5    13     9     0     0
            FLUORENE    13    10     0     0
            C2HIC9H8    11     9     0     0
         C2HC6H4C3H4    11     9     0     0
       C2HC6H4CHCCH3    11     9     0     0
        C2HC6H4CCCH3    11     8     0     0
       C2HC6H4CHCCH2    11     8     0     0
      C2HC6H4CH2CCH2    11     9     0     0
               A1C2H    11     7     0     0
       C2HC6H4CH2CCH    11     8     0     0
       CH3C6H4CH2CCH    10    10     0     0
       CH3C6H4CHCCH2    10    10     0     0
          CH2C6H4C2H     9     7     0     0
         CH2C6H4C2H3     9     9     0     0
          MEFLUORENE    14    12     0     0
           RFLUORENE    13     9     0     0
           ISOC13H11    13    11     0     0
           ISOC13H11    13    11     0     0
         NAPHCH2CCH2    13    11     0     0
         CH3C6H4C2H3     9    10     0     0
         C6H5CH2C6H5    13    12     0     0
          C6H5CHC6H5    13    11     0     0
               P2C2H    14    10     0     0
              A1CCA1    14    10     0     0
          CH3C6H4C2H     9     8     0     0
             A2C5CH2    13    10     0     0
            PC13H9R1    13     9     0     0
                A2C6    13    10     0     0
           PC13H11R2    13    11     0     0
          C12H8CH3R1    13    11     0     0
       BUTA123TRIENE     4     4     0     0
                 MCP     4     4     0     0
               H2C4O     4     2     1     0
                 YMN     8     8     0     0
         C5H4CHCHCH2     8     8     0     0
        C5H5CH2CHCH2     8    10     0     0
        C5H4CHCH2CH3     8    10     0     0
               C4H71     4     7     2     0
           C4H61OOH3     4     7     2     0
               C4H61     4     7     2     0
          C2H3CHOCH2     4     6     1     0
          C4H61XOOH3     4     7     4     0
          C2H3COCH2Q     4     6     3     0
               C4H61     4     7     4     0
         C4H61XOOH34     4     7     6     0
              C4H412     4     6     4     0
             C3H3CHO     4     6     5     0
               C4H4O     4     6     5     0
               C4H71     4     8     2     0
                M1X4    14     7     0     0
                M1X5    16     9     0     0
                P1X6    16     9     0     0
                M1X7    14     9     0     0
                M1X8    16    11     0     0
                M1X9    16    11     0     0
               P1X11    16     8     0     0
               P1X12    16    10     0     0
                M2X4    14     7     0     0
                M2X5    14     7     0     0
                M2X6    14     7     0     0
                M2X7    14     7     0     0
                M2X8    14     7     0     0
                M2X9    14     7     0     0
               M2X10    14     7     0     0
               M2X11    16     9     0     0
               P2X12    16     9     0     0
               P2X13    16     8     0     0
               M2X14    16     9     0     0
               P2X15    16     8     0     0
               M2X16    16     9     0     0
               P2X17    16     8     0     0
               M2X18    16     9     0     0
               P2X19    16     8     0     0
               M2X20    16     9     0     0
               M2X21    16     9     0     0
               P2X22    16     8     0     0
               M2X23    16     9     0     0
               P2X24    16     8     0     0
               M2X25    16     9     0     0
               P2X26    16     8     0     0
               M2X27    16     9     0     0
               P2X28    16     8     0     0
               M2X29    16     9     0     0
               P2X30    16     8     0     0
               P2X31    16     9     0     0
               M2X32    16     9     0     0
               M2X35    14     9     0     0
               P2X36    14     8     0     0
               P2X37    14     9     0     0
                M3X4    14     7     0     0
                M3X5    14     7     0     0
                M3X6    14     7     0     0
                M3X7    14     7     0     0
                M3X8    14     7     0     0
                M3X9    14     7     0     0
               M3X10    14     7     0     0
               M3X11    16     9     0     0
               P3X13    16     9     0     0
               M3X14    16     9     0     0
               P3X15    16     8     0     0
               M3X16    16     9     0     0
               P3X17    16     8     0     0
               M3X18    16     9     0     0
               M3X20    16     9     0     0
               P3X21    16     8     0     0
               P3X22    16     9     0     0
               M3X23    16     9     0     0
               P3X24    16     8     0     0
               M3X25    16     9     0     0
               P3X26    16     8     0     0
               M3X27    16     9     0     0
               M3X29    16     9     0     0
               P3X30    16     8     0     0
               M3X31    16     9     0     0
               M3X32    16     9     0     0
               P3X34    16     9     0     0
               M3X36    16     9     0     0
               P3X37    16     8     0     0
               M3X39    16     9     0     0
               P3X41    16     9     0     0
              CC4H4O     4     4     1     0
               H3C4O     4     3     1     0
                HC3O     3     1     1     0
              CC5H5O     5     5     1     0
            C5H4OHCO     6     5     2     0
            C4D13KET     6     6     1     0
            OVCCVCVO     3     2     2     0
              C6H4OH     6     5     1     0
             OC6H4OH     6     5     2     0
             C9H7C2H    11     8     0     0
                C9H6    11     7     0     0
            C9H7C3H3    12    10     0     0
           C9H6VCCVC    12    10     0     0
                C5H3     5     3     0     0
